NLB004389_01	Rijke_God_hoe_is_mijn_boeltje_dus_wild
NLB004390_01	Een_aardig_vrouwtje_heeft_mij_gewond
NLB004391_01	Het_waren_twee_gespelen_stout
NLB004392_01	Ach_Gott_wie_lang_vergissest_mein
NLB004393_01	Israëlse_kinderen
NLB004394_01	Hélàs_ami_je_connais_bien
NLB004395_01	Ik_heb_de_wereld_zeer_bemind
NLB004396_01	Nun_freut_euch_liebe_Christen_1
NLB004397_01	Ik_had_een_gestadig_minnetje
NLB004398_01	Tirannig_werk_vol_args_gedrongen
NLB004399_01	Mijn_God_waar_zal_ik_heengaan
NLB004400_01	Daar_ik_mij_laatstleden_ging_vertreden
NLB004401_01	Op_u_betrouw_ik_Heer
NLB004402_01	Al_om_de_liefste_boel_mijn
NLB004403_01	De_lustelijke_mei_is_nu_in_de_tijd
NLB004404_01	Met_lusten_willen_wij_zingen_en_loven_dat_Roomse_rijk
NLB004405_01	Ik_wil_mij_gaan_verheugen
NLB004406_01	Ik_arm_schaapje_aan_de_heide
NLB004407_01	Te_Brunswijk_staat_een_stenen_huis
NLB004408_01	O_rad_van_avontuur
NLB004409_01	De_geest_is_gewillig_maar_het_vlees_is_krank
NLB004410_01	A_la_fontaine_du_pré
NLB004411_01	De_vogeltjes_in_de_muiten
NLB004412_01	Een_Venus__diertje_heb_ik_uitverkoren
NLB004413_01	Schoon_liefje_jent_zeer_excellent
NLB004414_01	Kwade_nijders_tongen
NLB004415_01	Ik_zeg_adieu
NLB004416_01	Een_lied_eerbaar
NLB004417_01	Gij_heidenen_allen
NLB004418_01	Allein_zu_dir_Herr_Jesu_Christ
NLB004419_01	Onze_Vader_in_hemelrijk
NLB004420_01	Psalm_008_Datheen_VAR
NLB004421_01	De_oude_Hillebrand_3
NLB004422_01	Het_was_een_klerkje_dat_ging_ter_school
NLB004423_01	Zoete_waarde_liefje
NLB004424_01	Mens_misdadig
NLB004425_01	De_tijd_is_hier
NLB004426_01	Ik_weet_een_vrouwtje_amoureus
NLB004427_01	Ontwaak_van_slaap_wie_dat_gij_zijt
NLB004428_01	Hoezeer_zalig_is_de_man
NLB004429_01	Lijntjes_oven_is_bestoven
NLB004430_01	De_mei_de_mei_de_mei_die_brengt_ons_bloemen
NLB004431_01	Naar_oostland_wil_ik_varen_1
NLB004432_01	Ce_est_une_dure_départie
NLB004433_01	Le_homme_armé_1
NLB004434_01	Bruinsmadelijn
NLB004435_01	Met_een_droeve_zang_zo_klaag_ik_mijn_nood
NLB004436_01	O_mijn_ziel_dank_nu_de_Heer
NLB004437_01	Si_dire_je_le_osais
NLB004438_01	O_combien_est
NLB004439_01	Alle_vogeltjes_gemeen
NLB004440_01	Gij_zotten_en_zottinnen
NLB004441_01	Pironelle
NLB004442_01	Een_aardig_vrouwtje_heeft_mij_bedrogen
NLB004443_01	Aus_tiefer_Not_schrei_ich_zu_dir_2
NLB004444_01	Branle_Champagne_1
NLB004445_01	Een_vrome_man_die_werd_borg
NLB004446_01	Fagot_1
NLB004447_01	Passamezzo_la_douce
NLB004448_01	Passamezzo_la_douce
NLB004449_01	Passamezzo_la_douce
NLB004450_01	Dat_ik_om_een_schoon_beeld_zoet
NLB004451_01	Ik_vrijde_een_vrouwtje
NLB004452_01	Lovertjes_dat_zijn_lovertjes
NLB004453_01	Kon_ik_de_maneschijn_bedekken
NLB004454_01	Toutes_les_nuits
NLB004455_01	Psalm_001_Datheen
NLB004456_01	Helaas_ik_arm_ellendig_wijf
NLB004457_01	Ik_ging_nog_gisteravond_zo_heimelijk_een_gang
NLB004458_01	Ein_feste_Burg
NLB004459_01	Es_ist_das_Heil_uns_kommen_her_1
NLB004460_01	Die_Gods_gebod_houdt
NLB004461_01	Ik_had_een_boeltje_uitverkoren_[vervolg_onbekend]
NLB004462_01	O_Herr_Gott_begnade_mich
NLB004463_01	Psalm_043_Utenhove
NLB004464_01	Het_waren_twee_gespelen_goed_2
NLB004465_01	Psalm_143_Datheen
NLB004466_01	Nun_welche_hie_ihre_Hoffnung_gar
NLB004467_01	Al_mijn_gepeins_doet_mij_zo_wee_2
NLB004468_01	Een_ridder_en_een_meisje_jong
NLB004469_01	Een_goed_nieuw_lied_heb_ik_gedicht
NLB004470_01	Mijn_zinnetjes_zijn_mij_doortogen
NLB004471_01	Een_nieuw_lied_wij_heffen_aan
NLB004472_01	Psalm_130_Datheen
NLB004473_01	Ter_ere_van_alle_jongelingen
NLB004474_01	Toen_Hanselijn_over_de_heide_reed
NLB004475_01	Help_God_hoe_wee_doet_scheiden
NLB004476_01	De_nachtegaal_die_zong_een_lied
NLB004477_01	Il_me_suffit
NLB004478_01	Rijke_God_hoe_mag_dat_wezen
NLB004479_01	Psalm_012_Datheen
NLB004480_01	Psalm_091_Datheen
